Date,Open,High,Low,Close,Volume,Change,Close_Comparison
2019-10-22,162723,171148,161836,169819,1213364,0.0521949254933549,1
2019-10-23,171148,179572,171148,174253,1775563,0.0261101525742113,1
2019-10-24,171590,174695,167601,174697,1018003,0.0025480192593527,1
2019-10-25,176024,178684,172921,174697,573654,0.0,
2019-10-28,175581,178242,174695,178244,445782,0.0203037258796658,1
2019-10-29,179129,183118,179129,182235,693793,0.0223906555059356,1
2019-10-30,183563,183563,179129,180904,475624,-0.0073037561390512,0
2019-10-31,183118,183118,177356,177357,591697,-0.0196070844204661,0
2019-11-01,177356,177356,173807,176469,585922,-0.005006850589489,0
2019-11-04,177797,178241,175139,176026,548869,-0.0025103559265367,0
2019-11-05,175580,176467,173806,175139,499003,-0.005039028325361,0
2019-11-06,176468,176468,174251,174253,393739,-0.005058838979325,0
2019-11-07,177355,178241,168044,169376,1154142,-0.027988040378071,0
2019-11-08,171591,171591,164940,166715,910711,-0.0157106083506518,0
2019-11-11,166270,167155,161393,164942,721914,-0.0106349158743964,0
2019-11-12,164496,166271,163166,164498,463768,-0.0026918553188393,0
2019-11-13,163166,164495,160506,160508,584725,-0.0242556140500188,0
2019-11-14,161836,165827,161393,165386,660806,0.0303910085478604,1
2019-11-15,165826,166270,163166,164942,428038,-0.0026846286868296,0
2019-11-18,165827,166713,164496,165386,316656,0.0026918553188393,1
2019-11-19,164939,165383,161393,162725,446439,-0.0160896327379584,0
2019-11-20,162723,164496,161393,163612,464006,0.0054509141189122,1
2019-11-21,164939,164939,154298,156961,976376,-0.0406510524900374,0
2019-11-22,155628,157401,152082,155187,698123,-0.0113021706028886,0
2019-11-25,156072,160950,156072,160508,568779,0.0342876658482991,1
2019-11-26,163609,164496,159619,159621,790707,-0.0055262043013432,0
2019-11-27,162280,164939,158732,163169,665189,0.022227651750083,1
2019-11-28,162279,164496,157846,158291,526490,-0.0298953845399555,0
2019-11-29,158288,158731,152525,154301,666104,-0.0252067394861362,0
2019-12-02,155185,157402,154298,155631,390615,0.0086195163997639,1
2019-12-03,153413,155628,152525,154744,321654,-0.0056993786584934,0
2019-12-04,153412,155184,150751,151641,482067,-0.0200524737631184,0
2019-12-05,152967,153412,146761,149423,656296,-0.0146266511035934,0
2019-12-06,149864,152081,149421,150754,380529,0.0089075978932293,1
2019-12-09,150751,151638,148534,148979,390444,-0.0117741486129721,0
2019-12-10,148977,149863,146317,147650,629743,-0.008920720369985,0
2019-12-11,147647,148092,145430,145876,546619,-0.0120149001015915,0
2019-12-12,146761,152082,146316,151641,1084381,0.0395198661877211,1
2019-12-13,153854,154297,150751,152526,689495,0.0058361524917402,1
2019-12-16,152524,153412,149864,150754,393930,-0.0116176914099891,0
2019-12-17,151195,159176,150308,158735,1078663,0.0529405521578201,1
2019-12-18,161392,161392,156959,157404,640723,-0.0083850442561501,0
2019-12-19,159176,162279,158289,160065,776782,0.0169055424258595,1
